,Start Time,End Time,Distance (mi),Duration (min),Fuel Cost (USD),Average MPG,Fuel Volume (gal),Hard Accelerations,Hard Brakes,Duration Over 70 mph (secs),Duration Over 75 mph (secs),Duration Over 80 mph (secs),Tags
50,2015-06-25 15:20:00,2015-06-25 15:26:00,2.98,6.22,0.23,35.52,0.08,0,0,0,0,0,Other
51,2015-06-24 17:47:00,2015-06-24 18:13:00,15.61,26.09,1.09,38.58,0.4,0,0,81,5,0,commute
52,2015-06-24 06:30:00,2015-06-24 06:54:00,15.52,23.25,1.19,35.52,0.45,1,0,26,0,0,Other
53,2015-06-23 17:35:00,2015-06-23 17:59:00,15.62,23.85,1.15,36.69,0.42,1,0,30,2,0,commute
54,2015-06-23 06:30:00,2015-06-23 06:55:00,15.51,25.22,1.13,37.16,0.42,0,0,26,0,0,commute
55,2015-06-22 17:32:00,2015-06-22 17:59:00,15.61,26.47,1.18,35.99,0.42,0,0,14,0,0,commute
56,2015-06-22 06:26:00,2015-06-22 06:47:00,15.52,21.89,1.06,39.52,0.4,0,0,0,0,0,commute
57,2015-06-21 18:06:00,2015-06-21 18:20:00,6.75,13.56,0.54,33.87,0.21,0,1,0,0,0,Other
58,2015-06-21 18:02:00,2015-06-21 18:03:00,0.22,1.62,0.03,19.99,0.0,0,0,0,0,0,Other
59,2015-06-21 17:38:00,2015-06-21 17:55:00,10.29,16.68,0.78,36.46,0.29,0,0,3,0,0,Other
60,2015-06-21 06:24:00,2015-06-21 06:48:00,15.51,23.9,1.11,37.87,0.4,0,0,0,0,0,commute
61,2015-06-20 21:55:00,2015-06-20 22:15:00,11.83,19.38,0.84,38.1,0.32,0,0,0,0,0,Other
62,2015-06-20 18:43:00,2015-06-20 18:58:00,6.08,14.9,0.52,31.28,0.18,0,0,0,0,0,Other
63,2015-06-20 17:01:00,2015-06-20 17:27:00,12.12,26.22,0.93,35.99,0.34,0,0,0,0,0,Other
64,2015-06-20 11:48:00,2015-06-20 11:54:00,1.06,5.77,0.12,23.05,0.05,0,0,0,0,0,Other
65,2015-06-20 11:26:00,2015-06-20 11:31:00,1.08,4.75,0.13,23.05,0.05,0,0,0,0,0,Other
66,2015-06-19 15:33:00,2015-06-19 15:39:00,3.01,6.1,0.23,35.75,0.08,0,0,0,0,0,Other
67,2015-06-19 12:55:00,2015-06-19 12:57:00,1.01,1.92,0.06,47.75,0.03,0,0,0,0,0,Other
68,2015-06-17 21:53:00,2015-06-17 22:13:00,12.2,20.1,0.87,38.34,0.32,1,0,31,0,0,Other
69,2015-06-17 20:22:00,2015-06-17 20:55:00,23.89,32.91,1.57,40.93,0.58,0,0,0,0,0,Other
70,2015-06-17 09:21:00,2015-06-17 09:46:00,15.5,24.85,1.15,36.46,0.42,0,0,0,0,0,commute
71,2015-06-16 21:57:00,2015-06-16 22:19:00,15.6,21.93,1.01,42.1,0.37,0,0,19,0,0,commute
72,2015-06-16 10:50:00,2015-06-16 11:14:00,15.52,24.38,1.11,37.87,0.4,0,0,0,0,0,commute
73,2015-06-15 21:57:00,2015-06-15 22:20:00,15.63,23.04,0.97,43.51,0.37,0,0,0,0,0,commute
74,2015-06-15 10:51:00,2015-06-15 11:16:00,15.5,25.23,1.06,39.75,0.4,0,0,0,0,0,commute
